feature,importance_mean,importance_std
DEP_BLOCK,0.067568,0.002063
PREVIOUS_AIRPORT,0.013672,0.002549
SEGMENT_NUMBER,0.012193,0.002672
DAY_OF_WEEK,0.005491,0.000583
CONCURRENT_FLIGHTS,0.004070,0.000861
CARRIER_NAME,0.002623,0.001586
LONGITUDE,0.001581,0.001122
NUMBER_OF_SEATS,0.000845,0.000854
DISTANCE_GROUP,0.000787,0.001404
AVG_MONTHLY_PASS_AIRLINE,0.000657,0.001006
AVG_MONTHLY_PASS_AIRPORT,0.000228,0.001114
LATITUDE,-0.000013,0.000733
DEPARTING_AIRPORT,-0.000197,0.000815
GROUND_SERV_PER_PASS,-0.000258,0.000569
FLT_ATTENDANTS_PER_PASS,-0.000479,0.000453
PLANE_AGE,-0.001045,0.000870
